Site,Name,Duration_min,2yr_mmhr,5yr_mmhr,10yr_mmhr,25yr_mmhr,50yr_mmhr,100yr_mmhr,200yr_mmhr,500yr_mmhr,1000yr_mmhr,2000yr_mmhr,5000yr_mmhr,10000yr_mmhr
FL655789AF,Jabal Abyadh East,10,26.54,64.28,110.72,215.24,349.34,562.55,901.96,1677.48,2678.29,4273.17,7919.4,12626.07
FL655789AF,Jabal Abyadh East,20,19.09,46.22,79.62,154.78,251.21,404.54,648.61,1206.29,1925.98,3072.87,5694.92,9079.52
FL655789AF,Jabal Abyadh East,30,16.25,39.34,67.77,131.75,213.83,344.34,552.09,1026.79,1639.38,2615.6,4847.47,7728.42
FL655789AF,Jabal Abyadh East,60,11.46,27.74,47.79,92.9,150.78,242.81,389.31,724.03,1156.0,1844.38,3418.17,5449.66
FL655789AF,Jabal Abyadh East,120,7.39,17.9,30.84,59.96,97.31,156.7,251.25,467.27,746.05,1190.32,2206.0,3517.07
FL655789AF,Jabal Abyadh East,180,5.86,14.2,24.46,47.56,77.19,124.3,199.29,370.64,591.77,944.16,1749.81,2789.76
FL655789AF,Jabal Abyadh East,360,4.3,10.4,17.92,34.84,56.55,91.06,146.0,271.53,433.53,691.7,1281.91,2043.78
FL655789AF,Jabal Abyadh East,720,2.73,6.6,11.37,22.11,35.88,57.78,92.64,172.3,275.1,438.91,813.43,1296.87
FL655789AF,Jabal Abyadh East,1440,1.58,3.82,6.58,12.79,20.76,33.43,53.6,99.68,159.16,253.93,470.61,750.3
FL672275AF,Buei near Buei,10,22.58,54.69,94.2,183.14,297.23,478.64,767.42,1427.25,2278.77,3635.74,6738.07,10742.65
FL672275AF,Buei near Buei,20,15.59,37.75,65.03,126.42,205.18,330.41,529.76,985.26,1573.08,2509.83,4651.43,7415.87
FL672275AF,Buei near Buei,30,12.39,30.01,51.7,100.51,163.13,262.69,421.18,783.31,1250.64,1995.37,3698.0,5895.8
FL672275AF,Buei near Buei,60,7.36,17.83,30.72,59.72,96.92,156.07,250.24,465.39,743.05,1185.52,2197.12,3502.91
FL672275AF,Buei near Buei,120,4.38,10.61,18.27,35.53,57.66,92.85,148.88,276.88,442.07,705.32,1307.15,2084.02
FL672275AF,Buei near Buei,180,3.36,8.13,14.01,27.24,44.21,71.19,114.15,212.29,338.95,540.78,1002.23,1597.87
