WaterYear,Jabal Abyadh East,Buei near Buei,Taba at Taba,Hayfadh at Hayfadh,Qurayat at Qurayat
1994,27.6,,,,
1995,90.0,,,,
1996,141.4,,,,
1997,84.6,,,,
1998,74.2,37.3,,,
1999,38.0,7.3,,,
2000,,,0.6,,
2001,,0.3,29.8,19.8,
2002,,20.5,38.6,12.8,
2003,,21.6,26.4,21.6,
2004,61.6,,,,
2005,54.8,,,,39.2
2006,10.0,36.6,15.2,,6.2
2007,625.2,379.2,517.6,620.6,229.0
2008,1.8,5.8,,,
2009,22.0,25.2,20.6,9.5,30.8
2010,213.6,252.8,226.8,,229.2
2011,,11.6,8.6,4.2,9.6
2012,,20.6,16.6,45.8,33.0
2013,,44.0,33.4,29.1,34.4
2014,,22.6,31.8,27.6,39.0
2015,,14.8,21.6,14.6,15.8
2016,,50.0,,154.0,
2017,,16.8,24.4,24.0,26.6
2018,,44.0,41.0,32.2,25.8
2019,,,52.7,,
2020,,,7.2,15.2,20.6
2021,,,55.2,25.4,
2022,,,,41.6,23.8
2023,,,,11.0,8.8
