No,ID,Name,Duration,N_before,N_after,Max_before_mm,Max_after_mm
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,5min,8,24,15.0,15.0
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,10min,8,24,22.0,22.0
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,15min,8,24,30.2,30.2
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,30min,11,27,38.0,38.0
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,1h,14,31,38.6,38.6
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,2h,15,31,39.0,40.2
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,3h,15,31,40.0,41.7
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,6h,15,31,51.0,51.0
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,12h,15,31,67.0,67.0
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,24h,15,31,71.1,71.1
2,FL609065AF,YITI,5min,10,15,11.8,11.8
2,FL609065AF,YITI,10min,11,16,17.8,17.8
2,FL609065AF,YITI,15min,11,16,21.7,21.7
2,FL609065AF,YITI,30min,11,16,28.3,28.3
2,FL609065AF,YITI,1h,11,16,37.2,37.2
2,FL609065AF,YITI,2h,11,16,55.8,55.8
2,FL609065AF,YITI,3h,11,16,73.8,73.8
2,FL609065AF,YITI,6h,11,16,128.4,128.4
2,FL609065AF,YITI,12h,11,16,202.4,202.4
2,FL609065AF,YITI,24h,11,16,286.5,286.5
3,FL593824AF,Amerat at Amerat Wali Offi,5min,21,25,14.6,14.6
3,FL593824AF,Amerat at Amerat Wali Offi,10min,21,25,19.8,19.8
3,FL593824AF,Amerat at Amerat Wali Offi,15min,22,25,28.4,28.4
3,FL593824AF,Amerat at Amerat Wali Offi,30min,24,26,48.6,48.6
3,FL593824AF,Amerat at Amerat Wali Offi,1h,25,26,81.0,81.0
3,FL593824AF,Amerat at Amerat Wali Offi,2h,25,26,116.2,116.2
