duration_min,2yr_mm,5yr_mm,10yr_mm,25yr_mm,50yr_mm,100yr_mm,200yr_mm,500yr_mm,1000yr_mm,2000yr_mm,5000yr_mm,10000yr_mm,2yr_mmhr,5yr_mmhr,10yr_mmhr,25yr_mmhr,50yr_mmhr,100yr_mmhr,200yr_mmhr,500yr_mmhr,1000yr_mmhr,2000yr_mmhr,5000yr_mmhr,10000yr_mmhr
5,4.7,7.5,9.4,11.8,13.6,15.5,17.4,19.9,21.9,23.9,26.6,28.7,56.96,89.9,112.31,141.33,163.37,185.69,208.38,239.02,262.72,286.89,319.58,344.88
10,7.7,12.1,15.2,19.2,22.3,25.5,28.7,33.2,36.6,40.2,45.0,48.8,46.02,72.83,91.3,115.46,134.01,152.97,172.42,198.95,219.69,241.02,270.18,292.98
15,9.6,15.5,19.7,25.4,29.9,34.6,39.6,46.6,52.3,58.2,66.6,73.4,38.33,61.91,78.73,101.49,119.51,138.44,158.37,186.42,209.03,232.92,266.59,293.74
30,13.2,21.6,27.7,35.8,42.3,49.1,56.2,66.3,74.4,83.0,95.0,104.8,26.38,43.3,55.37,71.69,84.62,98.19,112.48,132.59,148.8,165.92,190.05,209.51
60,16.6,27.5,35.5,46.4,55.2,64.6,74.7,89.0,100.8,113.4,131.4,146.2,16.61,27.54,35.48,46.42,55.23,64.62,74.65,89.0,100.77,113.37,131.43,146.25
120,19.2,33.0,43.7,59.4,73.0,88.1,105.3,131.3,154.0,179.7,218.8,252.8,9.61,16.48,21.84,29.72,36.48,44.07,52.63,65.66,77.01,89.83,109.38,126.42
180,20.6,36.3,49.4,69.8,88.3,110.2,136.1,177.8,216.2,261.7,335.2,403.0,6.86,12.09,16.45,23.26,29.44,36.73,45.35,59.25,72.06,87.25,111.75,134.33
360,23.4,43.4,61.5,92.2,122.4,160.3,208.3,291.7,374.4,479.2,661.8,843.0,3.9,7.23,10.26,15.37,20.39,26.72,34.71,48.61,62.41,79.87,110.29,140.51
720,26.2,50.2,73.0,113.0,153.8,206.8,276.0,401.0,529.7,698.0,1002.1,1315.5,2.18,4.18,6.08,9.42,12.81,17.24,23.0,33.42,44.15,58.16,83.51,109.62
1440,32.2,61.8,89.0,135.2,181.0,238.9,312.7,441.9,571.1,735.8,1024.7,1315.5,1.34,2.58,3.71,5.63,7.54,9.96,13.03,18.41,23.8,30.66,42.7,54.81
