Name,Mean Soil Loss,R,K,LS,C,P
S9,1.857,45.298,0.229,5.727,0.047,1
S6,2.289,50.752,0.232,7.475,0.046,1
S12,4.688,51.142,0.228,9.732,0.046,1
S1,10.382,67.582,0.227,14.142,0.046,1
S5,31.848,90.74,0.234,15.858,0.046,1
S2,44.52,103.636,0.237,18.964,0.045,1
S10,3.34,46.912,0.231,7.02,0.047,1
S7,1.125,47.878,0.23,2.779,0.046,1
S11,1.417,45.892,0.232,6.042,0.046,0.996
S13,2.139,45.341,0.229,5.492,0.046,1
S14,10.326,59.722,0.231,18.774,0.047,1
S15,6.393,53.503,0.232,14.023,0.045,0.995
S3,8.964,62.315,0.23,10.869,0.046,1
S4,21.68,78.818,0.235,13.298,0.046,1
Subbasin-1,15.068,67.611,0.231,15.854,0.047,1
Subbasin-2,8.057,54.897,0.229,10.965,0.047,1
