Sno,Site_ID,Station_Na,Easting,Northing,Elev,dist_km,target
1,EM819572AF,Barka at Barka Municipality,589700,2615200,30.0,71.4,False
2,FM013961AF,Ar Rumais at Camel Race,603685,2619124,18.0,63.2,False
3,FM111464AF,Al Maabilah Store,611616,2614415,0.0,54.3,False
4,FM309915AF,Azaiba at Azaiba health center,639100,2609500,20.0,33.8,True
5,FM415095AF,Al Khuwair at Al Khuwair Health Center,645900,2610500,18.0,29.5,True
6,FM517016AF,Ruwi at Ruwi Health Center,657100,2610600,40.0,23.5,True
7,FM612285BF,MUSCAT NR MUSCAT,662400,2612200,30.0,23.7,True
8,EM808405AF,AL WASIT AT AL WASIT,588000,2604500,125.0,67.4,False
9,EM907070AF,AT TAWW AT AT TAWW,597700,2600000,189.0,56.7,False
10,EM908887AF,AFLAJ NEAR AT TAWW,598800,2608700,78.0,60.2,False
11,FM104840AF,WADI AL KHAWD 1 NEAR AL KHAWD,614400,2608000,78.0,47.7,False
12,FM201534AF,Al Gafnein near Rusail Industry Area,621388,2602380,100.0,38.8,True
13,FM405394AF,Al Amerat at Bowshar Highland,645936,2603690,431.0,24.8,True
14,FM505467AF,WADI ADAY NEAR BAJARIYAH,655600,2604700,25.0,18.9,True
15,FL609065AF,YITI,669628,2600528,76.0,11.6,True
16,EL892238AF,AFI NEAR AFI,582300,2592800,270.0,68.3,False
17,FL093144AF,JABAL NAKHL,603400,2591400,1560.0,47.9,False
18,FL095896AF,Buwah,605900,2598600,215.0,48.9,False
19,FL180996AF,Al Farfar at Farfar,610968,2589656,324.0,40.2,False
20,FL194557BF,Bidbid Municipality,614610,2595720,223.0,39.9,True
21,FL397706AF,Sunub near Al Ansab,637028,2597639,185.0,25.7,True
22,FL593824AF,Amerat at Amerat Wali Office,653200,2598400,130.0,15.9,True
23,EL783573AF,ARD AL MAHALIL NEAR AT TAWIYAH,573700,2585300,370.0,74.9,False
24,EL880230AF,AL MISEEN AT AL MISEEN,580300,2582000,380.0,67.8,False
25,EL981533AF,AL KID NEAR AL KID ( wadi al hidik),591300,2585300,495.0,57.7,False
26,FL182756AF,Bidbid at Health Center,612500,2587698,254.0,38.1,True
27,FL385022AF,JABAL AT TAYYIN 2,635200,2580200,1310.0,14.3,True
28,FL481079AF,Upper Al Nahdah near Al Nahdah,641762,2580911,440.0,9.2,True
29,FL580672AF,WADI AL JANNAH 1 NEAR AL HAJIR,650700,2586200,220.0,10.4,True
30,FL585627AF,Al Hajir at Al Hajir Health Center,655200,2586700,160.0,10.1,True
31,FL681271CF,FUWAD 2 AT FUWAD,661700,2582100,225.0,5.8,True
32,FL788017AF,HAYFADH AT HAYFADH,678100,2580700,230.0,0.0,True
33,EL772223AF,AL GHUBRAH NEAR AL GHUBRAH,572200,2572300,610.0,75.1,False
34,EL861984AF,Jabal Sahra at Jabal Sahra,581700,2569400,920.0,65.6,False
35,EL879519AF,JABAL AL HAYL,589100,2575900,1835.0,58.4,False
36,EL976770AF,Samail at Samail Manicipality,596673,2577000,430.0,50.9,False
37,FL072718AF,Samail At Samail Notary Public Dept.,602100,2577800,420.0,45.7,False
38,FL275746AF,MUSBIT NEAR MUSBIT,625400,2577600,410.0,22.8,True
39,FL672275AF,BUEI NEAR BUEI,662700,2572500,450.0,0.0,True
40,FL669998AF,Sarin near Habubiyah,669901,2569899,445.0,0.0,True
41,FL771702AF,TABA AT TABA,671000,2577200,310.0,0.0,True
42,FL974085AF,Qurayat at Qurayat,694800,2570500,20.0,3.5,True
43,EL766631AF,Amti at Amti,576300,2566000,790.0,71.2,False
44,EL757943AF,AL KHADRAH AT AL KHADRAH,577400,2559300,1090.0,70.9,False
45,EL856955AF,Wadi Bani Rawaha Health Center,586542,2559557,579.0,61.9,False
46,EL964139AF,BURI AT BURI,594300,2561900,560.0,53.8,False
47,FL364343AF,Nejd Wasit (Al Rohbah),634400,2563300,810.0,15.1,True
48,FL455969AF,Al Bdayah 2 at Bdayah,645600,2559900,595.0,8.4,True
49,FL762629AF,Siya at Siya,672251,2566943,371.0,0.0,True
50,FM865337AF,Abayah near Misfah,685305,2563752,623.0,2.9,True
51,EL754300AF,BIBAN NEAR BIBAN,574000,2553000,2000.0,75.6,False
52,EL756163AF,Jabal Al Buwaydah near Birkat Al Mawz,576600,2551300,2150.0,73.5,False
53,EL854479AF,AL AFIA AT AL AFIA,584700,2554900,650.0,64.7,False
54,FL157691BF,Upper Wadi Andam (wadi Al Uqq),618600,2555700,760.0,32.6,True
55,FL358553BF,BA'AD 2 AT BA'AD,638500,2555300,697.0,16.2,True
56,FL655789AF,JABAL ABYADH EAST,665800,2557900,1690.0,2.9,True
57,FL740974AF,Wadi Tayyin near Bayyad,670920,2549565,307.0,11.4,True
58,FL950429CF,MAZARA 3 at Mazara,690200,2554900,150.0,12.4,True
59,GL052000AF,Wadi Al Arabiyeen at Batha,702032,2550004,403.0,23.4,True
60,EL739945DF,Izki 4 at Izki Municipality,579400,2539500,580.0,75.0,False
61,EL848688AF,Tawi Zahir Near Tawi Zahir,588800,2546800,740.0,63.4,False
62,FL040678AF,Wadi Muhrem Health Center,600737,2546802,750.0,52.5,False
63,FL245564BF,AL MUQAYHFAH 2 AT AL MUQAYHFAH,625600,2545400,720.0,32.2,True
64,FL343236AF,Al Wariyah near Rawdah,633994,2542563,825.0,29.2,True
65,FL443121AF,UPPER KHAFIFAH NEAR KHAFIFAH,643200,2541100,890.0,26.9,True
66,FL544208AF,GETEFI NEAR GETEFI,654000,2542900,700.0,21.7,True
