Sno,Site_ID,Name,n_roi_24h,kappa_24h,24h_2yr,24h_5yr,24h_10yr,24h_25yr,24h_50yr,24h_100yr,24h_200yr,24h_500yr,24h_1000yr,24h_2000yr,24h_5000yr,24h_10000yr
4,FM309915AF,Azaiba at Azaiba health center,22,-0.258,19.0,39.0,56.0,83.0,108.0,137.0,172.0,228.0,281.0,344.0,446.0,541.0
5,FM415095AF,Al Khuwair at Al Khuwair Health Center,19,-0.271,20.0,40.0,58.0,86.0,112.0,143.0,180.0,242.0,299.0,369.0,484.0,592.0
6,FM517016AF,Ruwi at Ruwi Health Center,18,-0.336,20.0,43.0,63.0,98.0,131.0,173.0,226.0,318.0,409.0,524.0,723.0,920.0
7,FM612285BF,MUSCAT NR MUSCAT,16,-0.308,21.0,43.0,62.0,95.0,126.0,164.0,211.0,290.0,367.0,462.0,624.0,780.0
12,FM201534AF,Al Gafnein near Rusail Industry Area,27,-0.197,19.0,38.0,52.0,74.0,93.0,114.0,139.0,177.0,211.0,250.0,309.0,363.0
13,FM405394AF,Al Amerat at Bowshar Highland,23,-0.317,19.0,40.0,59.0,90.0,119.0,156.0,202.0,280.0,356.0,451.0,613.0,771.0
14,FM505467AF,WADI ADAY NEAR BAJARIYAH,18,-0.336,20.0,43.0,63.0,98.0,131.0,173.0,226.0,318.0,409.0,524.0,723.0,920.0
15,FL609065AF,YITI,20,-0.273,22.0,44.0,64.0,94.0,123.0,157.0,198.0,266.0,329.0,406.0,533.0,652.0
20,FL194557BF,Bidbid Municipality,29,-0.174,20.0,39.0,53.0,74.0,92.0,112.0,135.0,169.0,199.0,233.0,284.0,329.0
21,FL397706AF,Sunub near Al Ansab,29,-0.261,20.0,40.0,57.0,85.0,110.0,139.0,175.0,233.0,287.0,352.0,457.0,555.0
22,FL593824AF,Amerat at Amerat Wali Office,24,-0.296,20.0,41.0,60.0,89.0,118.0,152.0,194.0,265.0,333.0,416.0,556.0,690.0
26,FL182756AF,Bidbid at Health Center,30,-0.144,20.0,38.0,51.0,71.0,87.0,104.0,123.0,152.0,176.0,203.0,243.0,277.0
27,FL385022AF,JABAL AT TAYYIN 2,33,-0.279,21.0,42.0,60.0,89.0,116.0,149.0,189.0,254.0,316.0,391.0,516.0,633.0
28,FL481079AF,Upper Al Nahdah near Al Nahdah,35,-0.287,21.0,43.0,61.0,91.0,119.0,154.0,195.0,265.0,331.0,411.0,545.0,673.0
29,FL580672AF,WADI AL JANNAH 1 NEAR AL HAJIR,26,-0.292,20.0,41.0,60.0,89.0,117.0,151.0,193.0,263.0,329.0,411.0,547.0,677.0
30,FL585627AF,Al Hajir at Al Hajir Health Center,25,-0.277,22.0,44.0,63.0,94.0,122.0,156.0,198.0,266.0,331.0,409.0,538.0,660.0
31,FL681271CF,FUWAD 2 AT FUWAD,28,-0.26,23.0,45.0,65.0,95.0,123.0,156.0,195.0,260.0,319.0,391.0,508.0,617.0
32,FL788017AF,HAYFADH AT HAYFADH,22,-0.315,22.0,47.0,69.0,105.0,140.0,183.0,237.0,328.0,417.0,527.0,715.0,898.0
38,FL275746AF,MUSBIT NEAR MUSBIT,31,-0.233,22.0,42.0,59.0,85.0,108.0,135.0,167.0,218.0,265.0,319.0,406.0,485.0
39,FL672275AF,BUEI NEAR BUEI,28,-0.263,23.0,46.0,65.0,96.0,124.0,157.0,198.0,263.0,324.0,398.0,518.0,630.0
40,FL669998AF,Sarin near Habubiyah,26,-0.314,23.0,47.0,69.0,105.0,139.0,181.0,234.0,323.0,410.0,518.0,702.0,881.0
41,FL771702AF,TABA AT TABA,26,-0.299,23.0,47.0,68.0,102.0,135.0,175.0,224.0,306.0,386.0,483.0,647.0,805.0
42,FL974085AF,Qurayat at Qurayat,15,-0.304,26.0,52.0,75.0,112.0,148.0,192.0,246.0,338.0,429.0,556.0,783.0,1012.0
47,FL364343AF,Nejd Wasit (Al Rohbah),28,-0.282,22.0,43.0,62.0,92.0,119.0,153.0,194.0,261.0,325.0,403.0,532.0,655.0
48,FL455969AF,Al Bdayah 2 at Bdayah,29,-0.283,23.0,46.0,67.0,99.0,129.0,166.0,210.0,284.0,354.0,439.0,580.0,714.0
49,FL762629AF,Siya at Siya,26,-0.316,23.0,48.0,70.0,106.0,141.0,184.0,238.0,330.0,419.0,530.0,720.0,904.0
50,FM865337AF,Abayah near Misfah,21,-0.284,25.0,50.0,72.0,107.0,139.0,179.0,227.0,306.0,382.0,473.0,626.0,771.0
54,FL157691BF,Upper Wadi Andam (wadi Al Uqq),25,-0.166,24.0,43.0,57.0,79.0,97.0,118.0,141.0,175.0,205.0,238.0,289.0,332.0
55,FL358553BF,BA'AD 2 AT BA'AD,26,-0.275,23.0,46.0,65.0,96.0,125.0,160.0,202.0,271.0,336.0,415.0,545.0,668.0
56,FL655789AF,JABAL ABYADH EAST,29,-0.321,23.0,48.0,70.0,107.0,142.0,186.0,241.0,335.0,426.0,540.0,736.0,927.0
57,FL740974AF,Wadi Tayyin near Bayyad,29,-0.304,24.0,48.0,70.0,105.0,138.0,179.0,230.0,316.0,398.0,500.0,672.0,839.0
58,FL950429CF,MAZARA 3 at Mazara,22,-0.245,26.0,50.0,70.0,102.0,131.0,164.0,204.0,268.0,328.0,402.0,536.0,664.0
59,GL052000AF,Wadi Al Arabiyeen at Batha,19,-0.197,26.0,50.0,68.0,96.0,121.0,148.0,180.0,229.0,281.0,343.0,444.0,538.0
63,FL245564BF,AL MUQAYHFAH 2 AT AL MUQAYHFAH,19,-0.197,24.0,44.0,61.0,85.0,106.0,131.0,158.0,201.0,239.0,283.0,350.0,410.0
64,FL343236AF,Al Wariyah near Rawdah,23,-0.243,23.0,45.0,63.0,91.0,116.0,146.0,181.0,238.0,290.0,351.0,450.0,541.0
65,FL443121AF,UPPER KHAFIFAH NEAR KHAFIFAH,26,-0.269,23.0,45.0,64.0,93.0,121.0,154.0,194.0,259.0,320.0,394.0,515.0,628.0
66,FL544208AF,GETEFI NEAR GETEFI,30,-0.271,23.0,46.0,66.0,98.0,127.0,162.0,204.0,273.0,338.0,416.0,545.0,666.0
67,FL844896AF,Al Hara at Jabal Abyadh,25,-0.228,26.0,49.0,69.0,98.0,125.0,156.0,192.0,249.0,301.0,367.0,481.0,588.0
68,FL942459AF,JABAL ASFAR,24,-0.222,25.0,49.0,68.0,97.0,122.0,152.0,187.0,242.0,292.0,360.0,470.0,574.0
69,GL142813AF,Dhabab at HWY near Dhabab,15,-0.102,27.0,48.0,64.0,86.0,103.0,122.0,142.0,173.0,203.0,237.0,289.0,334.0
72,FL331254AF,TOWER NEAR RAWDAH,19,-0.231,22.0,43.0,60.0,86.0,109.0,137.0,169.0,219.0,266.0,320.0,406.0,485.0
73,FL434668AF,LOWER KHAFIFAH NEAR KHAFIFAH,23,-0.248,23.0,45.0,63.0,91.0,117.0,147.0,183.0,241.0,294.0,358.0,460.0,554.0
74,FL730339AF,Jabal Kheyaam2 at Jabal Kheyaam,34,-0.238,24.0,46.0,64.0,93.0,119.0,149.0,184.0,241.0,293.0,354.0,453.0,543.0
75,FL737261AF,SHANNAH NEAR SHANNAH,29,-0.202,25.0,47.0,65.0,92.0,115.0,142.0,172.0,220.0,264.0,321.0,411.0,495.0
76,FL933320AF,SAMAIA NEAR SAMAIA,25,-0.169,25.0,48.0,65.0,90.0,111.0,135.0,162.0,203.0,238.0,279.0,349.0,412.0
83,FL527473AF,AL MAR NEAR AL MAR,29,-0.247,22.0,44.0,61.0,89.0,114.0,143.0,178.0,235.0,286.0,348.0,448.0,539.0
85,FL921766AF,Souqah near Souqah,26,-0.165,25.0,47.0,64.0,89.0,110.0,133.0,160.0,199.0,239.0,285.0,358.0,424.0
