No,ID,Name,Dist_km,Target,Yrs_before,Yrs_after,Yrs_added,Max24h_before,Max24h_after,Min24h_before
1,EM819572AF,Barka at Barka Municipality,71.4,-,33,34,1,76.6,76.6,0.5
2,FM013961AF,Ar Rumais at Camel Race,63.2,-,4,5,1,211.6,211.6,5.2
3,FM111464AF,Al Maabilah Store,54.3,-,6,6,0,213.0,213.0,5.4
4,FM309915AF,Azaiba at Azaiba health cent,33.8,Y,18,26,8,131.0,131.0,1.0
5,FM415095AF,Al Khuwair at Al Khuwair Hea,29.5,Y,25,34,9,112.0,112.0,1.0
6,FM517016AF,Ruwi at Ruwi Health Center,23.5,Y,39,39,0,226.2,226.2,1.0
7,FM612285BF,MUSCAT NR MUSCAT,23.7,Y,45,54,9,139.6,139.6,1.5
8,EM808405AF,AL WASIT AT AL WASIT,67.4,-,27,30,3,137.0,137.0,0.8
9,EM907070AF,AT TAWW AT AT TAWW,56.7,-,20,30,10,188.9,188.9,0.6
10,EM908887AF,AFLAJ NEAR AT TAWW,60.2,-,23,25,2,130.8,130.8,0.8
11,FM104840AF,WADI AL KHAWD 1 NEAR AL KHAW,47.7,-,31,34,3,602.0,602.0,1.5
12,FM201534AF,Al Gafnein near Rusail Indus,38.8,Y,6,6,0,193.3,193.3,2.4
13,FM405394AF,Al Amerat at Bowshar Highlan,24.8,Y,5,5,0,78.2,78.2,11.6
14,FM505467AF,WADI ADAY NEAR BAJARIYAH,18.9,Y,15,31,16,71.1,71.1,3.8
15,FL609065AF,YITI,11.6,Y,11,16,5,286.5,286.5,3.0
16,EL892238AF,AFI NEAR AFI,68.3,-,36,38,2,129.9,129.9,0.5
17,FL093144AF,JABAL NAKHL,47.9,-,28,28,0,173.7,173.7,3.2
18,FL095896AF,Buwah,48.9,-,12,15,3,224.9,230.0,0.8
19,FL180996AF,Al Farfar at Farfar,40.2,-,4,5,1,43.2,43.2,6.6
20,FL194557BF,Bidbid Municipality,39.9,Y,9,9,0,46.0,46.0,14.1
21,FL397706AF,Sunub near Al Ansab,25.7,Y,5,5,0,56.4,56.4,4.0
