RP,Haifaz_inflow_m3s,Haifaz_vol_Mm3,Majlas_inflow_m3s,Majlas_outflow_m3s,Majlas_in_vol_Mm3,Majlas_out_vol_Mm3
2-yr,58.0,0.4,92.0,0.0,2.8,0.0
5-yr,216.0,1.2,460.0,0.0,11.1,0.0
10-yr,453.0,2.5,1161.0,0.0,24.9,0.0
25-yr,504.0,4.2,1859.0,0.0,42.8,0.0
50-yr,637.0,5.3,2561.0,0.0,55.4,0.0
100-yr,798.0,6.7,3452.0,0.0,71.1,0.0
200-yr,993.0,8.5,4566.0,0.0,90.5,0.0
500-yr,1316.0,11.4,6459.0,877.0,123.1,28.8
1000-yr,1624.0,14.2,8289.0,2228.0,154.4,60.1
2000-yr,1780.0,17.6,9607.0,4029.0,192.9,98.6
5000-yr,2341.0,23.4,13095.0,7608.0,258.0,163.8
10000-yr,2512.0,25.1,14166.0,8749.0,278.0,183.7
PMP,3224.0,55.0,18726.0,17224.0,549.3,455.0
