No,Site_ID,Name,Elev_m,Start,End,N_years,Missing_yrs,Max24h_mm
1,EM819572AF,Barka at Barka Municipality,30,1984,2019,34,2,77.0
2,FM013961AF,Ar Rumais at Camel Race,18,2017,2022,5,1,212.0
3,FM111464AF,Al Maabilah Store,0,2017,2022,6,0,213.0
4,FM309915AF,Azaiba at Azaiba health center,20,1995,2020,26,0,131.0
5,FM415095AF,Al Khuwair at Al Khuwair Health Center,18,1986,2020,34,1,112.0
6,FM517016AF,Ruwi at Ruwi Health Center,40,1983,2022,39,1,226.0
7,FM612285BF,MUSCAT NR MUSCAT,30,1952,2022,54,17,140.0
8,EM808405AF,AL WASIT AT AL WASIT,125,1992,2022,30,1,137.0
9,EM907070AF,AT TAWW AT AT TAWW,189,1993,2022,30,0,189.0
10,EM908887AF,AFLAJ NEAR AT TAWW,78,1993,2017,25,0,131.0
11,FM104840AF,WADI AL KHAWD 1 NEAR AL KHAWD,78,1987,2022,34,2,602.0
12,FM201534AF,Al Gafnein near Rusail Industry Area,100,2016,2022,6,1,193.0
13,FM405394AF,Al Amerat at Bowshar Highland,431,2016,2020,5,0,78.0
14,FM505467AF,WADI ADAY NEAR BAJARIYAH,25,1987,2020,31,3,71.0
15,FL609065AF,YITI,76,2001,2016,16,0,286.0
16,EL892238AF,AFI NEAR AFI,270,1985,2022,38,0,130.0
17,FL093144AF,JABAL NAKHL,1560,1979,2010,28,4,174.0
18,FL095896AF,Buwah,215,1999,2013,15,0,230.0
19,FL180996AF,Al Farfar at Farfar,324,2016,2020,5,0,43.0
20,FL194557BF,Bidbid Municipality,223,2012,2020,9,0,46.0
21,FL397706AF,Sunub near Al Ansab,185,2016,2020,5,0,56.0
22,FL593824AF,Amerat at Amerat Wali Office,130,1995,2020,26,0,438.0
23,EL783573AF,ARD AL MAHALIL NEAR AT TAWIYAH,370,1985,2022,38,0,59.0
24,EL880230AF,AL MISEEN AT AL MISEEN,380,1992,2019,28,0,150.0
25,EL981533AF,AL KID NEAR AL KID ( wadi al hidik),495,1993,2016,24,0,94.0
26,FL182756AF,Bidbid at Health Center,254,2017,2019,3,0,47.0
27,FL385022AF,JABAL AT TAYYIN 2,1310,1988,2010,22,1,290.0
28,FL481079AF,Upper Al Nahdah near Al Nahdah,440,2016,2022,7,0,51.0
29,FL580672AF,WADI AL JANNAH 1 NEAR AL HAJIR,220,1987,2016,29,1,86.0
30,FL585627AF,Al Hajir at Al Hajir Health Center,160,1978,2020,41,2,102.0
31,FL681271CF,FUWAD 2 AT FUWAD,225,1995,2020,26,0,374.0
