No,ID,Name,Elev (m),Period,N yr,Miss,Max 24h (mm)
1,FM505467AF,WADI ADAY NEAR BAJARIYAH,25,1987-2020,31,3,71.0
2,FL609065AF,YITI,76,2001-2016,16,0,286.0
3,FL593824AF,Amerat at Amerat Wali Offi,130,1995-2020,26,0,438.0
4,FL385022AF,JABAL AT TAYYIN 2,1310,1988-2010,22,1,290.0
5,FL580672AF,WADI AL JANNAH 1 NEAR AL H,220,1987-2016,29,1,86.0
6,FL585627AF,Al Hajir at Al Hajir Healt,160,1978-2020,41,2,102.0
7,FL681271CF,FUWAD 2 AT FUWAD,225,1995-2020,26,0,374.0
8,FL788017AF,HAYFADH AT HAYFADH,230,1995-2020,24,2,621.0
9,FL672275AF,BUEI NEAR BUEI,450,1995-2019,24,1,379.0
10,FL771702AF,TABA AT TABA,310,1995-2021,26,1,518.0
11,FL974085AF,Qurayat at Qurayat,20,1987-2020,31,3,229.0
12,FL364343AF,Nejd Wasit (Al Rohbah),810,1994-2016,23,0,97.0
13,FL455969AF,Al Bdayah 2 at Bdayah,595,1978-2020,42,1,162.0
14,FL358553BF,BA'AD 2 AT BA'AD,697,1984-2022,39,0,98.0
15,FL655789AF,JABAL ABYADH EAST,1690,1994-2010,17,0,628.0
16,FL740974AF,Wadi Tayyin near Bayyad,307,1987-2020,34,0,97.0
17,FL950429CF,MAZARA 3 at Mazara,150,1977-2019,42,1,457.0
18,FL544208AF,GETEFI NEAR GETEFI,700,1993-2022,29,1,180.0
19,FL942459AF,JABAL ASFAR,1390,1994-2019,26,0,879.0
20,FL730339AF,Jabal Kheyaam2 at Jabal Kh,600,1993-2020,28,0,140.0
