Sub-basin,Area_km2,CN,Ia_mm,Lag_min,Tc_hr,Downstream
S1,106.75,90.3,5.45,110,3.06,J1
S2,36.642,91,5.04,34.8,0.97,J1
S3,24.162,87.7,7.12,44,1.22,J2
S4,47.883,88,6.94,80.4,2.23,J3
S5,36.838,90,5.63,46.9,1.3,J3
S6,36.682,86.5,7.94,113,3.14,J4
S7,10.672,86.8,7.76,60.8,1.69,J4
S9,56.535,86.5,7.92,147,4.08,J5
S10,34.234,87.7,7.13,92.3,2.56,J6
S11,10.623,87.6,7.21,46.2,1.28,J6
S12,37.010,90.5,5.36,65.5,1.82,J7
S13,21.615,89.8,5.78,64.6,1.79,J7
S14,37.272,90,5.62,70.6,1.96,J8
S15,15.908,89.4,6.05,30.3,0.84,Majlas Dam
Subbasin-1 (Haifaz),40.391,90.1,5.55,43.2,1.2,J9
Subbasin-2,18.030,89.2,6.17,43.5,1.21,J5
Sdn1,3.0018,88,6.92,28.1,0.78,J10
Sdn2,20.333,88.5,6.58,24.9,0.69,J11
Sdn3,3.5173,88.6,6.52,25.7,0.71,O1
Sdn4,6.2246,88.4,6.65,33.6,0.93,O1
